,Missed ID
0,1099737526686937088
1,1089437453075824641
2,959311521082834944
3,1025099846171017216
4,1017524564698566656
5,1021686556472565762
6,1010309972918349824
7,913903898854871041
8,912320765567148032
9,904370874492518401
10,998179899285352448
11,885441394973835264
12,828743942380384256
13,4518999021
14,3317501195
15,990623965
16,876083796411650049
17,881272940184178696
18,873103406008745984
19,841004655563927553
20,839605704528920576
21,832336939596578819
22,802579489058332672
23,798485343162998784
24,793930743667908613
25,784162498228457473
26,881278603257937920
27,935758766066331648
28,865796799172407296
29,954379005188296704
30,873758396452753409
31,3892750959
32,786988812312449024
33,852571359108624385
34,714293558115586048
35,879773234199224321
36,2812070407
37,735185696030359557
38,878681247643561988
39,709841608733237248
40,749664459321466880
41,4040207472
42,3378113121
43,3357708868
44,918609526357499905
45,774694926135222272
46,3226543356
47,889229094273126400
48,4189915529
49,2536621626
50,2292415658
51,938543009167216641
52,3291286474
53,881688089164259328
54,708252658642120704
55,737840777963917312
56,4122247827
57,883418382988718082
58,878067171653562369
59,903621498375733248
60,2668592653
61,3885696215
62,878028362589118464
63,3300364029
64,706568743472619520
65,3143230134
66,923366953007435782
67,883335166202130433
68,4418748136
69,921692600544972800
70,4092326421
71,863270435760160769
72,4406413835
73,908035119293886464
74,3301779988
75,845125396714610690
76,822867823517200386
77,3765991992
78,878678015349329921
79,898575243308015618
80,4041359188
81,4371859758
82,3836777681
83,2327639124
84,742447712105336832
85,763099930487615488
86,917159386015043584
87,3748550069
88,4185208692
89,832633493427326976
90,868614565604376576
91,915284281311875074
92,892140208476606464
93,417105600
94,709095415401021440
95,902228795075284992
96,2414191657
97,3300777107
98,3818713218
99,4350824652
100,3901064081
101,3219645732
102,2540754536
103,2822800486
104,868946203421138945
105,723846764969791488
106,878768990167945218
107,860246681320923137
108,2216299843
109,781568006451105792
110,3052317647
111,793595267870289920
112,805673251837882369
113,4889216037
114,2558895162
115,3352995195
116,3976196781
117,4706049494
118,3041192247
119,852039978569801729
120,705215650986332162
121,2976541239
122,896423746617135105
123,884041170351001601
124,731498500773543936
125,708938088018481152
126,745349445471047680
127,4208245037
128,912104726770049025
129,748917167006113792
130,2486522684
131,897126449307627521
132,896898553985064961
133,849771126893019136
134,940176812692340736
135,889859060048252928
136,908900120934133761
137,4919025952
138,20959226
139,830638884
140,890575495368232960
141,854666940375339008
142,701470099090358276
143,4584564195
144,4590610654
145,883314307492130817
146,932610451283890177
147,4425828741
148,2607163646
149,821098759073497089
150,714131965318828032
151,772315241212325888
152,746015690507837441
153,1162875732
154,828309732574298113
155,4798922670
156,880076428603252737
157,702210829966516225
158,3254373616
159,4809840647
160,822425915548372993
161,879263611100815360
162,708759570319953920
163,824087954863685632
164,3772896857
165,3016208044
166,4190852728
167,882762258157371392
168,817082622824169472
169,720558462959267841
170,779880044420300800
171,4825633672
172,805362305777053698
173,705120073032269824
174,1912617043
175,2784894884
176,3293810833
177,794513135243759617
178,896850130275532800
179,3091637939
180,925409091115147264
181,4293630612
182,2431021303
183,873756899048431616
184,4871943514
185,4765089989
186,717833223066238977
187,714541415942987776
188,3769438815
189,3369547257
190,3957192304
191,864532106336235521
192,911664210614083584
193,2579497028
194,4745869775
195,3245226532
196,779417371282776064
197,876627031030738944
198,4097400133
199,896063275921793024
200,724677428669472769
201,4187564112
202,831720146091716608
203,4002930083
204,708794198099693568
205,757804429357613056
