,Missed ID
0,1684237219
1,149013351
2,172511244
3,39916070
4,240678841
5,17793087
6,2156167098
7,69475887
8,2357677057
9,227838448
10,34764540
11,58038523
12,821782476515409920
13,180152984
14,388627030
15,234857514
16,235747629
17,38270283
18,257824868
19,77926504
20,15950025
21,30821400
22,36359192
23,578278321
24,1683907286
25,14140714
26,204075017
27,234798573
28,3121925308
29,19586517
30,17452463
31,92310823
32,45422815
33,69605342
34,30714308
35,588889517
36,1029994225
37,219540733
38,66754444
39,2384118506
40,710300755
41,2924642426
42,27251924
43,27233671
44,749963
45,44872052
46,58868322
47,463446783
48,46527860
49,15792153
50,20926233
51,46059944
52,20278154
53,73650128
54,17688714
55,16539053
56,17871030
57,460655639
58,81857654
59,299952256
60,129727090
61,14815608
